scc,level1,level2,level3,level4,ACES_fuel_category,SEDS_code,CO_emission_factor,CO_ef_units,CO2_emission_factor,CO2_ef_units
20300106,Internal Combustion Engines,Commercial/Institutional,Distillate Oil (Diesel),Reciprocating: Evaporative Losses (Fuel Storage and Delivery System),distillate oil,DFICP,130,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20300107,Internal Combustion Engines,Commercial/Institutional,Distillate Oil (Diesel),Reciprocating: Exhaust,distillate oil,DFICP,130,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20300109,Internal Combustion Engines,Commercial/Institutional,Distillate Oil (Diesel),Turbine: Exhaust,distillate oil,DFICP,6.72,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20300201,Internal Combustion Engines,Commercial/Institutional,Natural Gas,Reciprocating,gas,NGICP,399,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20300202,Internal Combustion Engines,Commercial/Institutional,Natural Gas,Turbine,gas,NGICP,0.082,Lb / Million Btus,117.065322,Lb / Million Btus
20300202,Internal Combustion Engines,Commercial/Institutional,Natural Gas,Turbine: Exhaust,gas,NGICP,0.082,Lb / Million Btus,117.065322,Lb / Million Btus
20300203,Internal Combustion Engines,Commercial/Institutional,Natural Gas,Turbine: Cogeneration,gas,NGICP,0.082,Lb / Million Btus,117.065322,Lb / Million Btus
20300204,Internal Combustion Engines,Commercial/Institutional,Natural Gas,Reciprocating: Cogeneration,gas,NGICP,400,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20300207,Internal Combustion Engines,Commercial/Institutional,Natural Gas,Reciprocating: Exhaust,gas,NGICP,400,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20300301,Internal Combustion Engines,Commercial/Institutional,Gasoline,Reciprocating,gasoline,MGICP,7900,Lb / 1000 Gallon,20100.79040112,Lb / 1000 Gallon
20300307,Internal Combustion Engines,Commercial/Institutional,Gasoline,Reciprocating: Exhaust,gasoline,MGICP,7900,Lb / 1000 Gallon,20100.79040112,Lb / 1000 Gallon
20300701,Internal Combustion Engines,Commercial/Institutional,Digester Gas,Turbine,gas,NGICP,0.017,Lb / Million Btus,117.065322,Lb / Million Btus
20300702,Internal Combustion Engines,Commercial/Institutional,Digester Gas,Reciprocating: POTW Digester Gas,gas,NGICP,35,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20300707,Internal Combustion Engines,Commercial/Institutional,Digester Gas,Reciprocating: Exhaust,gas,NGICP,35,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20300801,Internal Combustion Engines,Commercial/Institutional,Landfill Gas,Turbine,gas,NGICP,0.44,Lb / Million Btus,117.065322,Lb / Million Btus
20300802,Internal Combustion Engines,Commercial/Institutional,Landfill Gas,Reciprocating,gas,NGICP,35,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20300809,Internal Combustion Engines,Commercial/Institutional,Landfill Gas,Turbine: Exhaust,gas,NGICP,35,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20300901,Internal Combustion Engines,Commercial/Institutional,Kerosene/Naphtha (Jet Fuel),Turbine: JP-4,jet fuel / kerosene,KSICP,113.5,Lb / 1000 Gallon,18786.60539602,Lb / 1000 Gallon
20301001,Internal Combustion Engines,Commercial/Institutional,Liquified Petroleum Gas (LPG),Propane: Reciprocating,lpg,HLICB,2.55,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
20301007,Internal Combustion Engines,Commercial/Institutional,Liquified Petroleum Gas (LPG),Reciprocating: Exhaust,lpg,HLICB,2.625,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
