scc,level1,level2,level3,level4,ACES_fuel_category,SEDS_code,CO_emission_factor,CO_ef_units,CO2_emission_factor,CO2_ef_units
10200701,External Combustion Boilers,Industrial,Process Gas,Petroleum Refinery Gas,gas,NGICP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10200704,External Combustion Boilers,Industrial,Process Gas,Blast Furnace Gas,gas,NGICP,13.7,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10200707,External Combustion Boilers,Industrial,Process Gas,Coke Oven Gas,gas,NGICP,18.4,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10200710,External Combustion Boilers,Industrial,Process Gas,Cogeneration,gas,NGICP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10200711,External Combustion Boilers,Industrial,Process Gas,Landfill Gas,gas,NGICP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10200799,External Combustion Boilers,Industrial,Process Gas,Other: Specify in Comments,gas,NGICP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10200802,External Combustion Boilers,Industrial,Petroleum Coke,All Boiler Sizes,coke,PCICB,0.6,Lb / Ton,6231.92281272,Lb / Ton
10200804,External Combustion Boilers,Industrial,Petroleum Coke,Cogeneration,coke,PCICB,0.6,Lb / Ton,6231.92281272,Lb / Ton
10200901,External Combustion Boilers,Industrial,Wood/Bark Waste,Bark-fired Boiler,wood/waste,WWICB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10200902,External Combustion Boilers,Industrial,Wood/Bark Waste,Wood/Bark-fired Boiler,wood/waste,WWICB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10200903,External Combustion Boilers,Industrial,Wood/Bark Waste,Wood-fired Boiler - Wet Wood (>=20% moisture),wood/waste,WWICB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10200904,External Combustion Boilers,Industrial,Wood/Bark Waste,"Bark-fired Boiler (< 50,000 Lb Steam)",wood/waste,WWICB,13.6,Lb / Ton,2946.9706695,Lb / Ton
10200905,External Combustion Boilers,Industrial,Wood/Bark Waste,"Wood/Bark-fired Boiler (< 50,000 Lb Steam)",wood/waste,WWICB,13.6,Lb / Ton,2946.9706695,Lb / Ton
10200906,External Combustion Boilers,Industrial,Wood/Bark Waste,"Wood-fired Boiler (< 50,000 Lb Steam)",wood/waste,WWICB,13.6,Lb / Ton,2946.9706695,Lb / Ton
10200907,External Combustion Boilers,Industrial,Wood/Bark Waste,Wood Cogeneration,wood/waste,WWICB,13.6,Lb / Ton,2946.9706695,Lb / Ton
10200908,External Combustion Boilers,Industrial,Wood/Bark Waste,Wood-fired Boiler - Dry Wood (<20% moisture),wood/waste,WWICB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10200910,External Combustion Boilers,Industrial,Wood/Bark Waste,Fuel cell/Dutch oven boilers,wood/waste,WWICB,6.6,Lb / Ton,2946.9706695,Lb / Ton
10200911,External Combustion Boilers,Industrial,Wood/Bark Waste,Stoker boilers,wood/waste,WWICB,13.6,Lb / Ton,2946.9706695,Lb / Ton
10200912,External Combustion Boilers,Industrial,Wood/Bark Waste,Fluidized bed combustion boiler,wood/waste,WWICB,1.4,Lb / Ton,2946.9706695,Lb / Ton
10201001,External Combustion Boilers,Industrial,Liquified Petroleum Gas (LPG),Butane,lpg,HLICB,3.6,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10201002,External Combustion Boilers,Industrial,Liquified Petroleum Gas (LPG),Propane,lpg,HLICB,3.2,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10201002,Stationary Source Fuel Combustion,Industrial,Liquified Petroleum Gas (LPG),Total: All Boiler Types,lpg,HLICB,3.2,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10201003,External Combustion Boilers,Industrial,Liquified Petroleum Gas (LPG),Butane/Propane Mixture: Specify Percent Butane in Comments,lpg,HLICB,2.625,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10201302,External Combustion Boilers,Industrial,Liquid Waste,Waste Oil,other oil,OPICB,5,Lb / 1000 Gallon,22473.2679633,Lb / 1000 Gallon
10201302,Stationary Source Fuel Combustion,Industrial,Waste oil,Total,other oil,OPICB,5,Lb / 1000 Gallon,22473.2679633,Lb / 1000 Gallon
10201401,External Combustion Boilers,Industrial,CO Boiler,Natural Gas,gas,NGICP,35,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10201402,External Combustion Boilers,Industrial,CO Boiler,Process Gas,gas,NGICP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10201403,External Combustion Boilers,Industrial,CO Boiler,Distillate Oil,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10201404,External Combustion Boilers,Industrial,CO Boiler,Residual Oil,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
10300101,External Combustion Boilers,Commercial/Institutional,Anthracite Coal,Pulverized Coal,coal,CLICP,0.6,Lb / Ton,5674.26859296,Lb / Ton
10300102,External Combustion Boilers,Commercial/Institutional,Anthracite Coal,Traveling Grate (Overfeed) Stoker,coal,CLICP,0.6,Lb / Ton,5674.26859296,Lb / Ton
10300103,External Combustion Boilers,Commercial/Institutional,Anthracite Coal,Hand-fired,coal,CLICP,90,Lb / Ton,5674.26859296,Lb / Ton
10300203,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Cyclone Furnace,coal,CLICP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10300205,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Pulverized Coal: Wet Bottom,coal,CLICP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10300206,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Pulverized Coal: Dry Bottom,coal,CLICP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10300207,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Overfeed Stoker,coal,CLICP,6,Lb / Ton,4934.21293288,Lb / Ton
10300208,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Underfeed Stoker,coal,CLICP,11,Lb / Ton,4934.21293288,Lb / Ton
10300209,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Spreader Stoker,coal,CLICP,5,Lb / Ton,4934.21293288,Lb / Ton
10300214,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Hand-fired,coal,CLICP,275,Lb / Ton,4934.21293288,Lb / Ton
10300216,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Pulverized Coal: Dry Bottom (Tangential),coal,CLICP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10300217,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Atmospheric Fluidized Bed Combustion: Bubbling Bed,coal,CLICP,18,Lb / Ton,4934.21293288,Lb / Ton
10300218,External Combustion Boilers,Commercial/Institutional,Bituminous Coal,Atmospheric Fluidized Bed Combustion: Circulating Bed,coal,CLICP,18,Lb / Ton,4934.21293288,Lb / Ton
10300222,External Combustion Boilers,Commercial/Institutional,Subbituminous Coal,Pulverized Coal: Dry Bottom,coal,CLICP,0.5,Lb / Ton,3732.90006254,Lb / Ton
10300224,External Combustion Boilers,Commercial/Institutional,Subbituminous Coal,Spreader Stoker,coal,CLICP,5,Lb / Ton,3732.90006254,Lb / Ton
10300225,External Combustion Boilers,Commercial/Institutional,Subbituminous Coal,Traveling Grate (Overfeed) Stoker,coal,CLICP,6,Lb / Ton,3732.90006254,Lb / Ton
10300226,External Combustion Boilers,Commercial/Institutional,Subbituminous Coal,Pulverized Coal: Dry Bottom (Tangential),coal,CLICP,0.5,Lb / Ton,3732.90006254,Lb / Ton
10300306,External Combustion Boilers,Commercial/Institutional,Lignite,"Pulverized Coal: Dry Bottom, Tangential Fired",coal,CLICP,0.6,Lb / Ton,2747.87584654,Lb / Ton
10300401,External Combustion Boilers,Commercial/Institutional,Residual Oil - Grade 6,Boiler,residual oil,RFICP,5,Lb / 1000 Gallon,27121.1470552,Lb / 1000 Gallon
10300402,External Combustion Boilers,Commercial/Institutional,Residual Oil,10-100 Million BTU/hr,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
10300403,External Combustion Boilers,Commercial/Institutional,Residual Oil,< 10 Million BTU/hr,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
10300404,External Combustion Boilers,Commercial/Institutional,Residual Oil,Grade 5 Oil,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
10300501,External Combustion Boilers,Commercial/Institutional,Distillate Oil - Grades 1 and 2,Boiler,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10300502,External Combustion Boilers,Commercial/Institutional,Distillate Oil,10-100 Million BTU/hr,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10300503,External Combustion Boilers,Commercial/Institutional,Distillate Oil,< 10 Million BTU/hr,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10300504,External Combustion Boilers,Commercial/Institutional,Distillate Oil,Grade 4 Oil,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10300601,External Combustion Boilers,Commercial/Institutional,Natural Gas,> 100 Million BTU/hr,gas,NGICP,84,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10300602,External Combustion Boilers,Commercial/Institutional,Natural Gas,10-100 Million BTU/hr,gas,NGICP,84,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10300603,External Combustion Boilers,Commercial/Institutional,Natural Gas,< 10 Million BTU/hr,gas,NGICP,84,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10300701,External Combustion Boilers,Commercial/Institutional,Process Gas,POTW Digester Gas-fired Boiler,gas,NGICP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10300799,External Combustion Boilers,Commercial/Institutional,Process Gas,Other Not Classified,gas,NGICP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10300811,External Combustion Boilers,Commercial/Institutional,Landfill Gas,Landfill Gas,gas,NGICP,35,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10300901,External Combustion Boilers,Commercial/Institutional,Wood/Bark Waste,Bark-fired Boiler,wood/waste,WWICB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10300902,External Combustion Boilers,Commercial/Institutional,Wood/Bark Waste,Wood/Bark-fired Boiler,wood/waste,WWICB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10300903,External Combustion Boilers,Commercial/Institutional,Wood/Bark Waste,Wood-fired Boiler - Wet Wood (>=20% moisture),wood/waste,WWICB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10300908,External Combustion Boilers,Commercial/Institutional,Wood/Bark Waste,Wood-fired Boiler - Dry Wood (<20% moisture),wood/waste,WWICB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10300910,External Combustion Boilers,Commercial/Institutional,Wood/Bark Waste,Fuel cell/Dutch oven boilers,wood/waste,WWICB,6.6,Lb / Ton,2946.9706695,Lb / Ton
10300910,Stationary Source Fuel Combustion,Industrial,Wood,Total: All Boiler Types,wood/waste,WWICB,6.6,Lb / Ton,2946.9706695,Lb / Ton
10300911,External Combustion Boilers,Commercial/Institutional,Wood/Bark Waste,Stoker boilers,wood/waste,WWICB,13.6,Lb / Ton,2946.9706695,Lb / Ton
10300912,External Combustion Boilers,Commercial/Institutional,Wood/Bark Waste,Fluidized bed combustion boiler,wood/waste,WWICB,1.4,Lb / Ton,2946.9706695,Lb / Ton
10301001,External Combustion Boilers,Commercial/Institutional,Liquified Petroleum Gas (LPG),Butane,lpg,HLICB,2.1,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10301002,External Combustion Boilers,Commercial/Institutional,Liquified Petroleum Gas (LPG),Propane,lpg,HLICB,1.9,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10301003,External Combustion Boilers,Commercial/Institutional,Liquified Petroleum Gas (LPG),Butane/Propane Mixture: Specify Percent Butane in Comments,lpg,HLICB,2.625,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10500105,External Combustion,Space Heaters,Industrial,Distillate Oil,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10500106,External Combustion,Space Heaters,Industrial,Natural Gas,gas,NGICP,20,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10500110,External Combustion,Space Heaters,Industrial,Liquified Petroleum Gas (LPG),lpg,HLICB,3.4,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10500113,External Combustion,Space Heaters,Industrial,Waste Oil: Air Atomized Burner,other oil,OPICB,2.1,Lb / 1000 Gallon,22473.2679633,Lb / 1000 Gallon
10500114,External Combustion,Space Heaters,Industrial,Waste Oil: Vaporizing Burner,other oil,OPICB,1.7,Lb / 1000 Gallon,22473.2679633,Lb / 1000 Gallon
10500205,External Combustion,Space Heaters,Commercial/Institutional,Distillate Oil,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10500206,External Combustion,Space Heaters,Commercial/Institutional,Natural Gas,gas,NGICP,20,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10500209,External Combustion,Space Heaters,Commercial/Institutional,Wood,wood/waste,WWICB,13.6,Lb / Ton,2946.9706695,Lb / Ton
10500210,External Combustion,Space Heaters,Commercial/Institutional,Liquified Petroleum Gas (LPG),lpg,HLICB,2,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10500213,External Combustion,Space Heaters,Commercial/Institutional,Waste Oil: Air Atomized Burner,other oil,OPICB,2.1,Lb / 1000 Gallon,22473.2679633,Lb / 1000 Gallon
10500214,External Combustion,Space Heaters,Commercial/Institutional,Waste Oil: Vaporizing Burner,other oil,OPICB,1.7,Lb / 1000 Gallon,22473.2679633,Lb / 1000 Gallon
20100101,Internal Combustion Engines,Electric Generation,Distillate Oil (Diesel),Turbine,distillate oil / jet kerosene,DFEIP,0.0033,Lb / Million Btus,162.03957,Lb / Million Btus
20100102,Internal Combustion Engines,Electric Generation,Distillate Oil (Diesel),Reciprocating,distillate oil / jet kerosene,DFEIP,130,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20100105,Internal Combustion Engines,Electric Generation,Distillate Oil (Diesel),Reciprocating: Crankcase Blowby,distillate oil / jet kerosene,DFEIP,130,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20100106,Internal Combustion Engines,Electric Generation,Distillate Oil (Diesel),Reciprocating: Evaporative Losses (Fuel Storage and Delivery System),distillate oil / jet kerosene,DFEIP,130,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20100107,Internal Combustion Engines,Electric Generation,Distillate Oil (Diesel),Reciprocating: Exhaust,distillate oil / jet kerosene,DFEIP,130,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20100109,Internal Combustion Engines,Electric Generation,Distillate Oil (Diesel),Turbine: Exhaust,distillate oil / jet kerosene,DFEIP,6.72,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20100201,Internal Combustion Engines,Electric Generation,Natural Gas,Turbine,gas,NGEIP,0.082,Lb / Million Btus,117.065322,Lb / Million Btus
20100202,Internal Combustion Engines,Electric Generation,Natural Gas,Reciprocating,gas,NGEIP,399,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20100206,Internal Combustion Engines,Electric Generation,Natural Gas,Reciprocating: Evaporative Losses (Fuel Delivery System),gas,NGEIP,400,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20100207,Internal Combustion Engines,Electric Generation,Natural Gas,Reciprocating: Exhaust,gas,NGEIP,400,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20100209,Internal Combustion Engines,Electric Generation,Natural Gas,Turbine: Exhaust,gas,NGEIP,150,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20100702,Internal Combustion Engines,Electric Generation,Process Gas,Reciprocating,gas,NGEIP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
20100707,Internal Combustion Engines,Electric Generation,Process Gas,Reciprocating: Exhaust,gas,NGEIP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
20100801,Internal Combustion Engines,Electric Generation,Landfill Gas,Turbine,gas,NGEIP,35,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20100802,Internal Combustion Engines,Electric Generation,Landfill Gas,Reciprocating,gas,NGEIP,35,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20100807,Internal Combustion Engines,Electric Generation,Landfill Gas,Reciprocating: Exhaust,gas,NGEIP,35,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20100901,Internal Combustion Engines,Electric Generation,Kerosene/Naphtha (Jet Fuel),Turbine,distillate oil / jet kerosene,DFEIP,0.0033,Lb / Million Btus,154.764324,Lb / Million Btus
20100902,Internal Combustion Engines,Electric Generation,Kerosene/Naphtha (Jet Fuel),Reciprocating: Exhaust,distillate oil / jet kerosene,DFEIP,0.95,Lb / Million Btus,154.764324,Lb / Million Btus
20100902,Internal Combustion Engines,Electric Generation,Kerosene/Naphtha (Jet Fuel),Reciprocating,distillate oil / jet kerosene,DFEIP,0.95,Lb / Million Btus,154.764324,Lb / Million Btus
